ID,classification,correct
1002,REAL,FAKE
1005,REAL,REAL
1007,REAL,FAKE
1009,REAL,REAL
101,REAL,REAL
1016,REAL,REAL
1019,REAL,REAL
1022,REAL,REAL
1023,REAL,FAKE
1034,REAL,FAKE
1036,REAL,REAL
1038,REAL,FAKE
104,REAL,REAL
1047,REAL,REAL
1048,REAL,REAL
1049,REAL,FAKE
1055,REAL,FAKE
1056,REAL,REAL
1058,REAL,REAL
106,REAL,REAL
1061,REAL,FAKE
1063,REAL,REAL
1068,REAL,REAL
1070,REAL,REAL
1073,REAL,REAL
1078,REAL,REAL
1080,REAL,FAKE
1081,REAL,FAKE
1083,REAL,FAKE
1087,REAL,REAL
1088,REAL,FAKE
1092,REAL,FAKE
1096,REAL,FAKE
11,REAL,REAL
1101,REAL,REAL
1108,REAL,FAKE
1112,REAL,FAKE
1114,REAL,FAKE
1117,REAL,FAKE
1121,REAL,FAKE
1126,REAL,FAKE
1128,REAL,FAKE
1131,REAL,FAKE
1139,REAL,FAKE
1140,REAL,FAKE
1141,REAL,REAL
1145,REAL,REAL
1155,REAL,REAL
1156,REAL,REAL
1158,REAL,FAKE
1160,REAL,FAKE
1161,REAL,REAL
1164,REAL,REAL
1169,REAL,REAL
117,REAL,REAL
1172,REAL,FAKE
118,REAL,REAL
1180,REAL,FAKE
1187,REAL,REAL
1193,REAL,REAL
1200,REAL,FAKE
1208,REAL,FAKE
1209,REAL,REAL
1213,REAL,FAKE
1214,REAL,FAKE
1216,REAL,REAL
1219,REAL,REAL
1221,REAL,FAKE
1227,REAL,FAKE
1228,REAL,FAKE
1229,REAL,FAKE
1233,REAL,REAL
1237,REAL,REAL
1240,REAL,FAKE
1241,REAL,REAL
1246,REAL,REAL
1253,REAL,REAL
1254,REAL,FAKE
1256,REAL,FAKE
1258,REAL,FAKE
1259,REAL,FAKE
1261,REAL,REAL
1264,REAL,REAL
1267,REAL,REAL
127,REAL,REAL
1270,REAL,FAKE
1302,REAL,REAL
1303,REAL,FAKE
1314,REAL,REAL
1318,REAL,FAKE
1321,REAL,FAKE
1322,REAL,REAL
1330,REAL,FAKE
1339,REAL,FAKE
1342,REAL,FAKE
1347,REAL,REAL
1354,REAL,FAKE
1367,REAL,REAL
137,REAL,FAKE
1372,REAL,FAKE
1376,REAL,REAL
1380,REAL,FAKE
1382,REAL,FAKE
1386,REAL,REAL
1395,REAL,REAL
140,REAL,REAL
1414,REAL,FAKE
1419,REAL,FAKE
1420,REAL,FAKE
1429,REAL,REAL
143,REAL,REAL
1431,REAL,REAL
144,REAL,FAKE
1441,REAL,REAL
1455,REAL,REAL
1463,REAL,FAKE
1464,REAL,REAL
1468,REAL,FAKE
1473,REAL,FAKE
1475,REAL,REAL
1478,REAL,REAL
1494,REAL,REAL
1495,REAL,REAL
1500,REAL,REAL
1501,REAL,FAKE
1502,REAL,REAL
152,REAL,REAL
1522,REAL,FAKE
1526,REAL,REAL
1527,REAL,REAL
1530,REAL,REAL
1532,REAL,REAL
1534,REAL,FAKE
1543,REAL,FAKE
1549,REAL,FAKE
1550,REAL,REAL
1555,REAL,FAKE
1557,REAL,FAKE
156,REAL,REAL
1562,REAL,FAKE
1572,REAL,FAKE
1575,REAL,FAKE
1580,REAL,REAL
1586,REAL,REAL
1591,REAL,FAKE
1592,REAL,REAL
1593,REAL,REAL
1598,REAL,REAL
1602,REAL,FAKE
1603,REAL,REAL
1605,REAL,FAKE
1608,REAL,FAKE
1614,REAL,FAKE
1635,REAL,FAKE
1640,REAL,FAKE
165,REAL,FAKE
1651,REAL,FAKE
1656,REAL,FAKE
1668,REAL,FAKE
1669,REAL,REAL
1676,REAL,FAKE
1677,REAL,REAL
1679,REAL,REAL
1690,REAL,FAKE
1695,REAL,REAL
1699,REAL,REAL
1700,REAL,FAKE
1702,REAL,FAKE
1706,REAL,FAKE
1711,REAL,FAKE
172,REAL,FAKE
1721,REAL,REAL
1723,REAL,REAL
1725,REAL,FAKE
1726,REAL,REAL
1733,REAL,FAKE
1738,REAL,FAKE
1739,REAL,FAKE
1740,REAL,FAKE
1748,REAL,REAL
1753,REAL,REAL
1755,REAL,REAL
1757,REAL,REAL
1763,REAL,FAKE
1769,REAL,FAKE
1770,REAL,FAKE
1771,REAL,FAKE
1774,REAL,FAKE
1780,REAL,REAL
1786,REAL,REAL
1788,REAL,REAL
1798,REAL,FAKE
1800,REAL,REAL
1801,REAL,REAL
1805,REAL,FAKE
